bigram,comfort_score
sa,0.5380075308317834
sd,0.5715595815467321
sf,0.6763186628740823
sg,0.8952409186726499
sz,0.4092919425214929
sx,0.1471592167524859
sc,0.2920893764152078
sv,0.5476030745637916
sb,0.7665253303623594
dq,0.48581262497305133
dw,0.3378588665319585
de,0.2264807575841855
dr,0.49699669863173646
dt,0.7159189544303042
da,0.6427666121591334
ds,0.5380075308317834
df,0.5715595815467321
dg,0.7904818373453
dz,0.5140510238488429
dx,0.2742632554271416
dc,0.1471592167524859
dv,0.44284399323644164
db,0.6617662490350094
fq,0.6620047822899358
fw,0.5140510238488429
fe,0.4092919425214929
fr,0.3103460144265383
ft,0.5292682702251061
fa,0.7475256934864836
fs,0.6427666121591334
fd,0.5380075308317834
fg,0.5741186016930437
fz,0.6605306297186695
fx,0.42074286129696814
fc,0.30025785024273544
fv,0.2264807575841855
fb,0.44540301338275323
gq,0.8809270380885035
gw,0.7329732796474107
ge,0.6282141983200606
gr,0.5292682702251061
gt,0.424509188897756
ga,0.9664479492850513
gs,0.8616888679577012
gd,0.7569297866303512
gf,0.5741186016930437
gz,0.8794528855172371
gx,0.6396651170955359
gc,0.519180106041303
gv,0.44540301338275323
gb,0.3406439320554032
zq,0.1631867976740523
zw,0.27380699481654613
ze,0.40044385781130565
zr,0.6307887205234849
zt,0.8497109763220526
za,0.2264807575841855
zs,0.44284399323644164
zd,0.5476030745637916
zf,0.694082680433618
zg,0.9130049362321858
zx,0.5715595815467321
zc,0.6763186628740823
zv,0.7810777442014323
zb,1.0
xq,0.148420934120989
xw,0.0
xe,0.13877830772219502
xr,0.39100095210178365
xt,0.6099232079003514
xa,0.2335926756985317
xs,0.1471592167524859
xd,0.3078153061420905
xf,0.45429491201191685
xg,0.6732171678104846
xz,0.5380075308317834
xc,0.5715595815467321
xv,0.6763186628740823
xb,0.8952409186726499
cq,0.2593318673888658
cw,0.08950032728036339
ce,0.0
cr,0.24863815938014144
ct,0.46756041517870905
ca,0.3226258272989989
cs,0.2585373257002589
cd,0.1471592167524859
cf,0.33380990095768404
cg,0.5527321567562518
cz,0.6427666121591334
cx,0.5380075308317834
cv,0.5715595815467321
cb,0.7904818373453
vq,0.5148455655374498
vw,0.36689180709635694
ve,0.2402549441015973
vr,0.1631867976740523
vt,0.38210905347262003
va,0.578139525447583
vs,0.5140510238488429
vd,0.4092919425214929
vf,0.2264807575841855
vg,0.44540301338275323
vz,0.7475256934864836
vx,0.6427666121591334
vc,0.5380075308317834
vb,0.5741186016930437
bq,0.7337678213360175
bw,0.5858140628949247
be,0.45917719990016514
br,0.38210905347262003
bt,0.27734997214527
ba,0.7970617812461507
bs,0.7329732796474107
bd,0.6282141983200606
bf,0.44540301338275323
bg,0.3406439320554032
bz,0.9664479492850513
bx,0.8616888679577012
bc,0.7569297866303512
bv,0.5741186016930437
po,0.5715595815467321
pi,0.6763186628740823
pu,0.7810777442014323
py,1.0
p;,0.3103460144265383
pl,0.4303315240875327
pk,0.5193646756880002
pj,0.6955568330048845
ph,0.9144790888034522
p/,0.1631867976740523
p.,0.1819729848359377
"p,",0.29288391810381453
pm,0.5483976162523985
pn,0.7673198720509662
op,0.5380075308317834
oi,0.5715595815467321
ou,0.6763186628740823
oy,0.8952409186726499
o;,0.4092919425214929
ol,0.2264807575841855
ok,0.3714109172469072
oj,0.5476030745637916
oh,0.7665253303623594
o/,0.2402549441015973
o.,0.0
"o,",0.1230523779953121
om,0.40044385781130565
on,0.6193661136098734
ip,0.6427666121591334
io,0.5380075308317834
iu,0.5715595815467321
iy,0.7904818373453
i;,0.5140510238488429
il,0.3535847962588413
ik,0.2264807575841855
ij,0.44284399323644164
ih,0.6617662490350094
i/,0.36689180709635694
i.,0.1052262570072463
"i,",0.0
im,0.27380699481654613
in,0.49272925061511386
up,0.7475256934864836
uo,0.6427666121591334
ui,0.5380075308317834
uy,0.5741186016930437
u;,0.7443958865610222
ul,0.5839296589710206
uk,0.46344464791678774
uj,0.3103460144265383
uh,0.5292682702251061
u/,0.5972366698085361
u.,0.35744890138683494
"u,",0.2150861086651925
um,0.1631867976740523
un,0.38210905347262003
yp,0.9664479492850513
yo,0.8616888679577012
yi,0.7569297866303512
yu,0.5741186016930437
y;,0.9633181423595899
yl,0.8028519147695883
yk,0.6823669037153555
yj,0.5292682702251061
yh,0.424509188897756
y/,0.8161589256071038
y.,0.5763711571854027
"y,",0.43400836446376034
ym,0.38210905347262003
yn,0.27734997214527
;p,0.3103460144265383
;o,0.44284399323644164
;i,0.5476030745637916
;u,0.7779479372759709
;y,0.9968701930745387
;l,0.5715595815467321
;k,0.6763186628740823
;j,0.7810777442014323
;h,1.0
;/,0.2264807575841855
;.,0.2671447264134804
";,",0.3561778780139476
;m,0.6116915761625317
;n,0.8306138319610994
lp,0.396779473372584
lo,0.2264807575841855
li,0.38713684697379
lu,0.6174817096859693
ly,0.836403965484537
l;,0.5380075308317834
lk,0.5715595815467321
lj,0.6763186628740823
lh,0.8952409186726499
l/,0.4092919425214929
l.,0.1471592167524859
"l,",0.2920893764152078
lm,0.5476030745637916
ln,0.7665253303623594
kp,0.48581262497305133
ko,0.3378588665319585
ki,0.2264807575841855
ku,0.49699669863173646
ky,0.7159189544303042
k;,0.6427666121591334
kl,0.5380075308317834
kj,0.5715595815467321
kh,0.7904818373453
k/,0.5140510238488429
k.,0.2742632554271416
"k,",0.1471592167524859
km,0.44284399323644164
kn,0.6617662490350094
jp,0.6620047822899358
jo,0.5140510238488429
ji,0.4092919425214929
ju,0.3103460144265383
jy,0.5292682702251061
j;,0.7475256934864836
jl,0.6427666121591334
jk,0.5380075308317834
jh,0.5741186016930437
j/,0.6605306297186695
j.,0.42074286129696814
"j,",0.30025785024273544
jm,0.2264807575841855
jn,0.44540301338275323
hp,0.8809270380885035
ho,0.7329732796474107
hi,0.6282141983200606
hu,0.5292682702251061
hy,0.424509188897756
h;,0.9664479492850513
hl,0.8616888679577012
hk,0.7569297866303512
hj,0.5741186016930437
h/,0.8794528855172371
h.,0.6396651170955359
"h,",0.519180106041303
hm,0.44540301338275323
hn,0.3406439320554032
/p,0.1631867976740523
/o,0.27380699481654613
/i,0.40044385781130565
/u,0.6307887205234849
/y,0.8497109763220526
/;,0.2264807575841855
/l,0.44284399323644164
/k,0.5476030745637916
/j,0.694082680433618
/h,0.9130049362321858
/.,0.5715595815467321
"/,",0.6763186628740823
/m,0.7810777442014323
/n,1.0
.p,0.148420934120989
.o,0.0
.i,0.13877830772219502
.u,0.39100095210178365
.y,0.6099232079003514
.;,0.2335926756985317
.l,0.1471592167524859
.k,0.3078153061420905
.j,0.45429491201191685
.h,0.6732171678104846
./,0.5380075308317834
".,",0.5715595815467321
.m,0.6763186628740823
.n,0.8952409186726499
",p",0.2593318673888658
",o",0.08950032728036339
",i",0.0
",u",0.24863815938014144
",y",0.46756041517870905
",;",0.3226258272989989
",l",0.2585373257002589
",k",0.1471592167524859
",j",0.33380990095768404
",h",0.5527321567562518
",/",0.6427666121591334
",.",0.5380075308317834
",m",0.5715595815467321
",n",0.7904818373453
mp,0.5148455655374498
mo,0.36689180709635694
mi,0.2402549441015973
mu,0.1631867976740523
my,0.38210905347262003
m;,0.578139525447583
ml,0.5140510238488429
mk,0.4092919425214929
mj,0.2264807575841855
mh,0.44540301338275323
m/,0.7475256934864836
m.,0.6427666121591334
"m,",0.5380075308317834
mn,0.5741186016930437
np,0.7337678213360175
no,0.5858140628949247
ni,0.45917719990016514
nu,0.38210905347262003
ny,0.27734997214527
n;,0.7970617812461507
nl,0.7329732796474107
nk,0.6282141983200606
nj,0.44540301338275323
nh,0.3406439320554032
n/,0.9664479492850513
n.,0.8616888679577012
"n,",0.7569297866303512
nm,0.5741186016930437
