bigram,comfort_score
gz,0.12054711448276292
gx,0.36033488290446414
gc,0.48081989395869695
gv,0.5545969866172468
gb,0.6593560679445968
zq,0.8368132023259477
zw,0.7261930051834539
ze,0.5995561421886944
zr,0.3692112794765151
zt,0.15028902367794736
za,0.7735192424158145
zs,0.5571560067635584
zd,0.45239692543620835
zf,0.30591731956638196
zg,0.08699506376781414
zx,0.42844041845326786
zc,0.3236813371259178
zv,0.21892225579856778
zb,0.0
xq,0.851579065879011
xw,1.0
xe,0.861221692277805
xr,0.6089990478982164
xt,0.39007679209964863
xa,0.7664073243014683
xs,0.8528407832475141
xd,0.6921846938579095
xf,0.5457050879880831
xg,0.3267828321895154
xz,0.46199246916821657
xc,0.42844041845326786
xv,0.3236813371259178
xb,0.10475908132735012
cq,0.7406681326111342
cw,0.9104996727196366
ce,1.0
cr,0.7513618406198586
ct,0.532439584821291
ca,0.6773741727010011
cs,0.7414626742997411
cd,0.8528407832475141
cf,0.666190099042316
cg,0.44726784324374824
cz,0.35723338784086656
cx,0.46199246916821657
cv,0.42844041845326786
cb,0.20951816265470008
vq,0.48515443446255024
vw,0.6331081929036431
ve,0.7597450558984027
vr,0.8368132023259477
vt,0.61789094652738
va,0.4218604745524171
vs,0.48594897615115706
vd,0.5907080574785071
vf,0.7735192424158145
vg,0.5545969866172468
vz,0.2524743065135165
vx,0.35723338784086656
vc,0.46199246916821657
vb,0.42588139830695626
bq,0.2662321786639825
bw,0.41418593710507534
be,0.5408228000998349
br,0.61789094652738
bt,0.72265002785473
ba,0.20293821875384935
bs,0.2670267203525893
bd,0.37178580167993935
bf,0.5545969866172468
bg,0.6593560679445968
bz,0.03355205071494871
bx,0.13831113204229883
bc,0.24307021336964882
bv,0.42588139830695626
po,0.42844041845326786
pi,0.3236813371259178
pu,0.21892225579856778
py,0.0
p;,0.6896539855734617
pl,0.5696684759124673
pk,0.4806353243119999
pj,0.30444316699511553
ph,0.08552091119654777
p/,0.8368132023259477
p.,0.8180270151640623
"p,",0.7071160818961855
pm,0.45160238374760153
pn,0.2326801279490338
op,0.46199246916821657
oi,0.42844041845326786
ou,0.3236813371259178
oy,0.10475908132735012
o;,0.5907080574785071
ol,0.7735192424158145
ok,0.6285890827530928
oj,0.45239692543620835
oh,0.23347466963764058
o/,0.7597450558984027
o.,1.0
"o,",0.8769476220046879
om,0.5995561421886944
on,0.38063388639012663
ip,0.35723338784086656
io,0.46199246916821657
iu,0.42844041845326786
iy,0.20951816265470008
i;,0.48594897615115706
