,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
participant_intercept[95],-0.746,1.003,-2.623,1.133,0.005,0.007,41788.0,10390.0,1.0
participant_intercept[96],-0.129,0.981,-1.9,1.773,0.005,0.009,38830.0,11148.0,1.0
participant_intercept[97],0.643,0.991,-1.192,2.55,0.005,0.008,37635.0,10276.0,1.0
participant_intercept[98],0.236,0.959,-1.644,2.015,0.005,0.009,40892.0,10405.0,1.0
participant_intercept[99],-0.566,0.961,-2.336,1.253,0.005,0.008,37699.0,10684.0,1.0
participant_intercept[100],0.935,0.99,-0.917,2.807,0.005,0.007,36918.0,10053.0,1.0
participant_intercept[101],-0.512,0.978,-2.289,1.381,0.005,0.008,36466.0,11044.0,1.0
participant_intercept[102],-0.123,0.987,-1.975,1.764,0.005,0.01,35631.0,10122.0,1.0
participant_intercept[103],1.978,0.972,0.184,3.8,0.005,0.004,44889.0,10980.0,1.0
participant_intercept[104],0.078,0.958,-1.776,1.82,0.005,0.009,38484.0,10624.0,1.0
participant_intercept[105],-0.155,0.99,-2.022,1.696,0.005,0.01,40671.0,9690.0,1.0
participant_intercept[106],-2.357,0.974,-4.169,-0.492,0.005,0.004,40489.0,9510.0,1.0
participant_intercept[107],-0.925,0.986,-2.781,0.912,0.005,0.006,39860.0,11376.0,1.0
participant_intercept[108],-0.95,0.967,-2.757,0.899,0.005,0.006,40333.0,10684.0,1.0
participant_intercept[109],-2.929,0.978,-4.793,-1.117,0.005,0.004,42264.0,10503.0,1.0
participant_intercept[110],-1.453,0.969,-3.319,0.313,0.005,0.005,38084.0,11207.0,1.0
participant_intercept[111],0.936,0.987,-0.908,2.793,0.005,0.006,39908.0,10826.0,1.0
participant_intercept[112],-0.961,0.971,-2.78,0.859,0.005,0.006,44957.0,10400.0,1.0
participant_intercept[113],-0.108,1.0,-1.978,1.81,0.005,0.01,36925.0,9784.0,1.0
participant_intercept[114],-0.143,0.965,-1.972,1.651,0.005,0.009,42266.0,10815.0,1.0
participant_intercept[115],-0.589,1.0,-2.513,1.219,0.005,0.008,42679.0,10801.0,1.0
participant_intercept[116],0.278,0.987,-1.544,2.175,0.005,0.009,37891.0,10190.0,1.0
participant_intercept[117],1.79,0.988,-0.005,3.687,0.005,0.005,44835.0,10925.0,1.0
participant_intercept[118],-0.5,0.988,-2.447,1.283,0.005,0.008,36353.0,10571.0,1.0
participant_intercept[119],0.928,0.991,-0.898,2.824,0.005,0.007,39544.0,10317.0,1.0
participant_intercept[120],1.975,0.978,0.193,3.835,0.005,0.005,36941.0,10005.0,1.0
